Emissora,Programa,Estado,AudienciaDomiciliar,AudienciaIndividual,COV_Individual
BAND,JORNAL DA BAND,Sao Paulo,3.9,331,10
BAND,BRASIL URGENTE   1,Sao Paulo,3.3,287.7,13.1
BAND,PERRENGUE NA   BAND,Sao Paulo,2.3,222.6,3.6
BAND,AUTOMOBILISMO   VES – AUT FÓRMULA 1 VIVO – GP MÉXICO,Sao Paulo,2,189.7,4.9
BAND,MASTER CHEF   PROF,Sao Paulo,1.8,162.5,2.3
BAND,MMA NOT,Sao Paulo,1.2,96.1,1.5
BAND,MELHOR DA   NOITE,Sao Paulo,1.6,138.6,8.1
BAND,JOGO ABERTO   MAT,Sao Paulo,1.5,143.3,4.8
BAND,JIU JITSU MAD,Sao Paulo,1.2,90.1,0.6
BAND,PERRENGUE DO   DIA,Sao Paulo,1.1,99,3.6
BAND,JORNAL DA BAND,Rio de Janeiro,1.5,96.5,5.8
BAND,BRASIL URGENTE   1,Rio de Janeiro,1.2,69.3,5.8
BAND,PERRENGUE NA   BAND,Rio de Janeiro,1.2,91,2.3
BAND,AUTOMOBILISMO   VES – AUT FÓRMULA 1 VIVO – GP MÉXICO,Rio de Janeiro,1.1,75.3,3
BAND,MASTER CHEF   PROF,Rio de Janeiro,1.1,68.9,1.8
BAND,MMA NOT,Rio de Janeiro,1.2,60.6,1.3
BAND,MELHOR DA   NOITE,Rio de Janeiro,1.1,70,5.5
BAND,JOGO ABERTO   MAT,Rio de Janeiro,0.7,39.4,2.5
BAND,JIU JITSU MAD,Rio de Janeiro,1.2,58,0.8
BAND,PERRENGUE DO   DIA,Rio de Janeiro,1,61.4,3.5
GLOBO,NOVELA III SS   – TERRA E PAIXÃO,Sao Paulo,27.4,"2,503.70",31.8
GLOBO,FUTEBOL QA –  VIVO – CUIABÁ X CORINTHIANS – GRÊMIO X FLAMENGO,Sao Paulo,22.4,"2,183.10",19.8
GLOBO,JORNAL   NACIONAL SS,Sao Paulo,23.7,"2,181.80",31
GLOBO,NOVELA III SB   – TERRA E PAIXÃO,Sao Paulo,24.5,"2,134.40",14.3
GLOBO,PRACA TV 2A   EDICAO SS,Sao Paulo,18.4,"1,681.80",22.9
GLOBO,NOVELA II SS –   FUZUÊ,Sao Paulo,19.2,"1,782.70",25.8
GLOBO,JORNAL   NACIONAL SB,Sao Paulo,20.8,"1,821.20",12.5
GLOBO,NOVELA I SS –   ELAS POR ELAS,Sao Paulo,15.9,"1,400.00",21.7
GLOBO,NOVELA IV –   TODAS AS FLORES,Sao Paulo,17.8,"1,672.70",28
GLOBO,VALE A PENA   VER DE NOVO – MULHERES APAIXONADAS,Sao Paulo,15.2,"1,337.60",23.2
GLOBO,NOVELA III SS   – TERRA E PAIXÃO,Rio de Janeiro,30.6,"1,775.80",37.3
GLOBO,FUTEBOL QA – VIVO – CUIABÁ X CORINTHIANS – GRÊMIO X FLAMENGO,Rio de Janeiro,33.9,"2,014.10",27.1
GLOBO,JORNAL   NACIONAL SS,Rio de Janeiro,27.7,"1,607.20",35.8
GLOBO,NOVELA III SB   – TERRA E PAIXÃO,Rio de Janeiro,25.5,"1,532.20",15.3
GLOBO,PRACA TV 2A   EDICAO SS,Rio de Janeiro,24.5,"1,415.30",30.2
GLOBO,NOVELA II SS –   FUZUÊ,Rio de Janeiro,24.1,"1,374.10",31.6
GLOBO,JORNAL   NACIONAL SB,Rio de Janeiro,21.7,"1,321.30",14.4
GLOBO,NOVELA I SS –   ELAS POR ELAS,Rio de Janeiro,21.9,"1,244.90",29.2
GLOBO,NOVELA IV –   TODAS AS FLORES,Rio de Janeiro,20.3,"1,160.00",32.8
GLOBO,VALE A PENA   VER DE NOVO – MULHERES APAIXONADAS,Rio de Janeiro,20.9,"1,178.10",28.6
